,Song,Writer(s)[a],Original release,Producer(s),Year,Ref.
240,"""What Love Wants to Be""",Richard Starkey Mark Hudson Gary Burr,Ringo Rama,Mark Hudson Ringo Starr,2003,[75]
241,"""What's My Name""",Colin Hay †,What's My Name,Ringo Starr,2019,[57]
242,"""When You Wish Upon a Star"" (with Herb Alpert)",Leigh Harline Ned Washington †,Stay Awake: Various Interpretations of Music from Vintage Disney Films,Hal Willner,1988,[91]
243,"""Where Did Our Love Go""",Eddie Holland Lamont Dozier Brian Holland †,Bad Boy,Vini Poncia,1978,[55]
244,"""Whispering Grass (Don't Tell the Trees)""",Fred Fisher Doris Fisher †,Sentimental Journey,George Martin,1970,[60]
245,"""White Christmas""",Irving Berlin †,I Wanna Be Santa Claus,Mark Hudson Ringo Starr,1999,[59]
246,"""Who Needs a Heart""",Vini Poncia Richard Starkey,Bad Boy,Vini Poncia,1978,[55]
247,"""Who's Your Daddy"" (with Joss Stone)",Richard Starkey Joss Stone,Y Not,Ringo Starr Bruce Sugar,2010,[64]
248,"""Wine, Women and Loud Happy Songs""",Larry Kingston †,Beaucoups of Blues,Pete Drake,1970,[44]
249,"""Wings""[g]",Richard Starkey Vini Poncia,Ringo the 4th,Arif Mardin,1977,[63]
250,"""Winter Wonderland""",Felix Bernard Richard B. Smith †,I Wanna Be Santa Claus,Mark Hudson Ringo Starr,1999,[59]
251,"""Without Her""",Sorrells Pickard †,Beaucoups of Blues,Pete Drake,1970,[44]
252,"""Without Understanding""",Richard Starkey Mark Hudson Steve Dudas,Vertical Man,Mark Hudson Ringo Starr,1998,[73]
253,"""Woman of the Night""",Sorrells Pickard †,Beaucoups of Blues,Pete Drake,1970,[44]
254,"""Wonderful""",Richard Starkey Gary Nicholson,Ringo 2012,Ringo Starr,2012,[49]
255,"""World Go Round""",Steve Lukather Joseph Williams †,EP3 (EP),Ringo Starr Bruce Sugar,2022,[77]
256,"""Wrack My Brain""",George Harrison †,Stop and Smell the Roses,George Harrison,1981,[50]
257,"""Write One for Me""",Richard Starkey Mark Hudson Gary Burr,Ringo Rama,Mark Hudson Ringo Starr,2003,[75]
258,"""Wrong All the Time""",Richard Starkey Mark Hudson Gary Burr,Choose Love,Mark Hudson Ringo Starr,2005,[65]
259,"""Y Not""",Richard Starkey Glen Ballard,Y Not,Ringo Starr Bruce Sugar,2010,[64]
260,"""You and Me (Babe)""",George Harrison Mal Evans †,Ringo,Richard Perry,1973,[69]
261,"""You Always Hurt the One You Love""",Allan Roberts Doris Fisher †,Sentimental Journey,George Martin,1970,[60]
262,"""You Belong to Me""",Pee Wee King Redd Stewart Chilton Price †,Stop and Smell the Roses,George Harrison,1981,[50]
263,"""You Bring the Party Down""",Richard Starkey Steve Lukather,Postcards from Paradise,Ringo Starr,2015,[56]
264,"""You Can't Fight Lightning""",Richard Starkey,Stop and Smell the Roses (1994 reissue),Paul McCartney,1994,[62]
265,"""You Don't Know Me at All""",Dave Jordan †,Ringo's Rotogravure,Arif Mardin,1976,[67]
266,"""You Never Know""",Steve Dorff John Bettis †,Curly Sue (soundtrack),Steve Dorff,1991,[29]
267,"""You're Sixteen""",Robert B. Sherman Richard M. Sherman †,Ringo,Richard Perry,1973,[69]
268,"""You've Got a Nice Way""",Stephen Stills Michael Stergis †,Stop and Smell the Roses,Stephen Stills,1981,[50]
269,"""Zoom In Zooom Out""",Jeff Silbar Joe Turley †,Zoom In (EP),Ringo Starr Bruce Sugar,2021,[80]
